epoch,train_cls_loss,train_transfer_loss,train_adv_loss,train_total_loss,test_loss,test_acc,FAR,FDR,lr
1,1.1494624506682158,0.668267247453332,0.0,1.8177297040820122,0.7858683461588654,0.6902232486528098,0.22085132634176435,0.9971276159212146,0.0009984740801978985
2,0.6454426873475313,0.363325128890574,0.0,1.008767818659544,-1.0,-1.0,-1.0,-1.0,0.0009939057285945933
3,0.6209058251231909,0.3308769676834345,0.0,0.9517827965319157,-1.0,-1.0,-1.0,-1.0,0.00098632311059685
4,0.5491649238392711,0.3526576567441225,0.0,0.9018225762993097,-1.0,-1.0,-1.0,-1.0,0.0009757729755661011
5,0.5512966983020305,0.34722945727407933,0.0,0.8985261574387551,0.3972421095819084,0.8175519630484989,0.007402837754472548,0.9991793188346327,0.000962320368593087
6,0.571798769198358,0.31701874677091835,0.0,0.8888175141066312,-1.0,-1.0,-1.0,-1.0,0.0009460482294732421
7,0.5374151779338717,0.32518040081486105,0.0,0.8625955779105425,-1.0,-1.0,-1.0,-1.0,0.0009270568813552756
8,0.5148751756176353,0.28535269321873785,0.0,0.8002278700470924,-1.0,-1.0,-1.0,-1.0,0.000905463412215599
9,0.5656338287517428,0.33325312109664085,0.0,0.8988869525492191,-1.0,-1.0,-1.0,-1.0,0.0008814009529720154
10,0.5689373632892967,0.3005325550213456,0.0,0.8694699168205261,0.46309262923408784,0.7704387990762125,0.010487353485502776,0.9991793188346327,0.000855017856687341
11,0.4430789593607187,0.275574042648077,0.0,0.7186530057340861,-1.0,-1.0,-1.0,-1.0,0.000826476783923441
12,0.4785471992567182,0.2784671114757657,0.0,0.7570143081247807,-1.0,-1.0,-1.0,-1.0,0.0007959536998847741
13,0.4373581986874342,0.2732357010245323,0.0,0.7105938978493214,-1.0,-1.0,-1.0,-1.0,0.0007636367895343945
14,0.5170109279453754,0.26417113495990635,0.0,0.7811820629984141,-1.0,-1.0,-1.0,-1.0,0.0007297252973710755
15,0.4247858688235283,0.2679839582182467,0.0,0.6927698288112879,0.460170885156539,0.8167821401077752,0.008019740900678593,0.9995896594173164,0.0006944282990207194
16,0.47501081991940736,0.26833541672676803,0.0,0.743346237950027,-1.0,-1.0,-1.0,-1.0,0.0006579634122155989
17,0.5574574979022145,0.25720996148884295,0.0,0.8146674636751413,-1.0,-1.0,-1.0,-1.0,0.0006205554551086731
18,0.4996774548664689,0.28135666036978363,0.0,0.781034117564559,-1.0,-1.0,-1.0,-1.0,0.0005824350601949142
19,0.43599778432399033,0.26511603239923714,0.0,0.7011138211935759,-1.0,-1.0,-1.0,-1.0,0.0005438372523852832
20,0.5204337172210216,0.2543005285784602,0.0,0.7747342489659786,0.3619151579590372,0.8695919938414165,0.008019740900678593,0.9991793188346327,0.0005049999999999999
21,0.4499081639572978,0.26381158977746966,0.0,0.7137197513133288,-1.0,-1.0,-1.0,-1.0,0.0004661627476147167
22,0.511796616949141,0.23403397714719176,0.0,0.7458305932581425,-1.0,-1.0,-1.0,-1.0,0.00042756493980508576
23,0.4514261018484831,0.24876285484060645,0.0,0.7001889575272798,-1.0,-1.0,-1.0,-1.0,0.0003894445448913268
24,0.48588600363582374,0.24026172468438745,0.0,0.7261477291584015,-1.0,-1.0,-1.0,-1.0,0.000352036587784401
25,0.4301796226762235,0.22412208188325167,0.0,0.6543017078191042,0.5083676662419373,0.8334103156274058,0.008019740900678593,0.9997948297086582,0.0003155717009792805
26,0.39028476774692533,0.22238477151840924,0.0,0.6126695387065411,-1.0,-1.0,-1.0,-1.0,0.00028027470262892423
27,0.49756967145949604,0.21159396497532726,0.0,0.7091636396944523,-1.0,-1.0,-1.0,-1.0,0.0002463632104656052
28,0.5207187362015248,0.23523285798728466,0.0,0.7559515956789256,-1.0,-1.0,-1.0,-1.0,0.00021404630011522574
29,0.45007674070075154,0.2357456862926483,0.0,0.6858224246650935,-1.0,-1.0,-1.0,-1.0,0.00018352321607655907
30,0.4659503106959164,0.21933260895311832,0.0,0.6852829162031412,0.42050973357284316,0.8654349499615088,0.008019740900678593,0.9995896594173164,0.00015498214331265893
31,0.4552799235098064,0.22552501354366541,0.0,0.6808049350976944,-1.0,-1.0,-1.0,-1.0,0.00012859904702798464
32,0.43441292028874157,0.20948837772011758,0.0,0.6439012996852398,-1.0,-1.0,-1.0,-1.0,0.00010453658778440102
33,0.3769869523122907,0.1998616144992411,0.0,0.5768485687673092,-1.0,-1.0,-1.0,-1.0,8.294311864472433e-05
34,0.33567202743142843,0.21995270494371652,0.0,0.555624732747674,-1.0,-1.0,-1.0,-1.0,6.395177052675792e-05
35,0.47196579081937673,0.20581838889047505,0.0,0.6777841825038194,0.6814760886769372,0.8195535026943803,0.008019740900678593,0.9997948297086582,4.7679631406913044e-05
36,0.3473678399808705,0.2040168110281229,0.0,0.5513846520334482,-1.0,-1.0,-1.0,-1.0,3.422702443389899e-05
37,0.32040057592093946,0.2145477450452745,0.0,0.5349483229219913,-1.0,-1.0,-1.0,-1.0,2.3676889403150102e-05
38,0.34471086459234357,0.2037127179093659,0.0,0.548423582315445,-1.0,-1.0,-1.0,-1.0,1.609427140540686e-05
39,0.389440831169486,0.20744171347469093,0.0,0.5968825500458479,-1.0,-1.0,-1.0,-1.0,1.1525919802101659e-05
40,0.3934489071369171,0.20083001041784881,0.0,0.5942789182066918,0.48638651764695695,0.8680523479599692,0.008019740900678593,0.9995896594173164,1e-05
